id,entity_type,entity_id,delay_probability,shortage_risk,impact_score,confidence,risk_category,scoring_method,model_version,snapshot_t0,horizon_days,scored_at
6bcd5282-6126-536c-82e4-65f2969a9476,supplier,afa15ef0-34ab-58ff-ad47-8060502e5f84,0.2038,,0.1717,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:20:41+00
a9ecd7a9-d1f3-587f-81c0-23a31abcb9c0,supplier,b3288dd6-e3cd-5ec3-a951-39986285505b,0.2797,,0.2286,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:16:23+00
7d70e062-4f5e-5734-9794-9346aad68d90,supplier,bed19e03-5ade-5692-8a4e-81fb3e8f965d,0.45,,0.3297,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:07:16+00
6f8a5ebd-ccf8-56da-b6cb-db5fb95b5674,supplier,3dffa708-7186-5ce1-9e9c-96972e56f8bf,0.1351,,0.1417,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:13:49+00
127126f1-b45a-59fe-a27b-1889e3371471,supplier,d6589668-bf03-550c-93d5-57ece0241efc,0.05,,0.0891,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:05:10+00
a8a89e40-b9cb-5fef-9b88-535c40864df9,supplier,9981b718-1ab2-586a-ac86-82ab2f6f445c,0.45,,0.312,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:13:49+00
0c425b4c-e355-5367-bdf3-1d1322d0f0ed,supplier,9df2da2e-507c-507e-b146-3af5cb0eb852,0.3833,,0.2903,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:17:53+00
2714fe96-ea30-54b6-9e30-d67138cd9252,supplier,224ca423-2c12-5113-bbd1-50eab06cf470,0.05,,0.1019,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:03:51+00
be4e66e1-b406-517a-83d2-c13977f9bdda,supplier,960f8f6e-5384-5c35-bfda-77ba61e7822e,0.2853,,0.2012,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:13:45+00
4279a5e8-d15d-5f79-880e-2ec631bc578b,supplier,8c61a3ad-eb5d-59bc-9d10-16ddbfa7f8b0,0.05,,0.0809,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:14:57+00
69bbea2d-389c-59bc-b9ff-c224ee4cbd6b,supplier,ea344b5b-a6fa-5c52-a82d-6aca1e325dfd,0.1611,,0.1487,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:29:26+00
cb2cd46e-efa4-5ebc-9eb1-1d09d1fe4ac1,supplier,a204cedc-9bbc-5113-b524-27b81d9b9e2d,0.2167,,0.1911,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:05:00+00
1a03cf71-e14e-5cbc-be8d-7b8a71649edc,supplier,c809308b-6bd0-5e7f-8fed-63aa0be429db,0.25,,0.213,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:01:14+00
0f026d54-73f2-5b72-9519-15ea3d7ebdeb,supplier,b518e4a1-8b14-5e0f-a7c6-0b6631fe0a5a,0.05,,0.0912,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:04:46+00
e43e8d40-9637-5860-b7c3-a90b71686d7e,supplier,43b32e98-5a29-5473-b8a5-4357668f5f74,0.05,,0.0662,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:21:30+00
d8dd839d-75d7-51a9-a44c-3416dc3d1bdf,supplier,8f1f2a54-a01e-54a1-9234-72cb24fac6ff,0.05,,0.1112,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:09:59+00
061b7f97-a886-5c5a-91d1-f3b6d2bb7517,supplier,48e2fe7c-35ad-5935-824d-697bfa8226f3,0.3,,0.2249,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:04:42+00
82a72f74-6232-56a8-a65a-468dfc2b7716,supplier,f94dbc7c-8aca-554e-ad3f-4e1fa92c88e7,0.3,,0.2372,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:02:26+00
4a6ab708-8bf5-5f7d-a28e-33afcc1e1c38,supplier,f478ae52-7c2a-5617-95bb-5f296860910f,0.05,,0.0822,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:13:19+00
eaa3f8bf-9322-5d50-bea3-eeaafd2b38a0,supplier,80102db8-d5d3-5b2c-9e54-5b4fbebca6eb,0.15,,0.1287,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:18:26+00
56a91d23-c248-5db1-8cc2-9f4603eab7b4,supplier,c27afee2-997d-5290-a74e-2530422664f5,0.05,,0.1028,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:04:35+00
9abce231-aa61-505c-820e-781686d37bd7,supplier,7126e422-addd-5f29-b3f2-b752caf2e66c,0.15,,0.1246,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:07:46+00
23adacc3-53e0-509e-8ac4-bb640694fb38,supplier,7910ac44-1e40-56bb-9ab8-d9ba56ac335c,0.15,,0.1194,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:02:24+00
de3d0803-8b48-5dcd-ab88-ada281b61c9b,supplier,b9aec7bd-f7f9-55cb-b673-5177ddff5e0d,0.3357,,0.2438,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:09:35+00
e056002c-75bc-545e-95cb-dd4471a6c9f3,supplier,b0a44c22-e899-52ff-98a1-85dc4e254380,0.15,,0.1249,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:10:16+00
08c45cfc-e930-56d0-8ff4-6cf47fe2dfd1,supplier,eee4f3d5-a93a-5cf2-85cd-907416aee337,0.55,,0.3677,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:24:53+00
818e2b75-ab5c-5db5-8dcd-226a77037f4a,supplier,ce3f1829-b358-52a7-bd0e-9eb3d2d95666,0.4786,,0.3426,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:22:08+00
eb919b8a-f49b-5b62-85f8-0a666ac2274e,supplier,1cf67535-10cf-5364-a9c7-5b0562d7a6d6,0.3833,,0.2472,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:25:09+00
78bed90a-c72d-59f5-b67d-dd3a631970c7,supplier,b1482d47-285e-53ab-995d-cc9a8165b52c,0.15,,0.1295,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:29:38+00
2f0f0b34-fcd4-5605-8ef0-ca5516fbf6a4,supplier,d48fc4d1-ee5a-5d55-92e3-efa651af5e0b,0.15,,0.1308,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:00:10+00
79e228da-60c2-5a46-a7d9-7050bffb3249,supplier,7cff550d-7458-54fe-906b-849912e2bac5,0.1088,,0.1024,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:02:44+00
99f913cd-125f-5e44-818b-9a45c778b18d,supplier,3a67adbf-5513-5a16-82f1-1ee2075f84a5,0.15,,0.1457,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:04:12+00
99b66129-7d6f-5bb4-8f45-0c86189839ca,supplier,1439fed7-3f86-5a06-ae10-6169b01a836b,0.15,,0.1472,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:24:13+00
